RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,CONFEXAM,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNotFSM6CLA1A,PTNotFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,TSENELSE,PSENELSE,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTREADTA_EXP,PTREADTA_AD,PTMATTA_EXP,PTMATTA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELAPK,PSENELSAPK,TSENELE,PSENELE,TSENELK,PSENELK,TSENELST,PSENELST,TSENELSAP,PSENELSAP,SENELN,PSENELN,PTFSM6CLA1A_16,PTNOTFSM6CLA1A_16,PTRWM_EXP_16,PTRWM_HIGH_16,PTRWM_EXP_FSM6CLA1A_16,PTRWM_EXP_NotFSM6CLA1A_16,PTRWM_HIGH_FSM6CLA1A_16,PTRWM_HIGH_NotFSM6CLA1A_16,READPROG_16,READPROG_LOWER_16,READPROG_UPPER_16,WRITPROG_16,WRITPROG_LOWER_16,WRITPROG_UPPER_16,MATPROG_16,MATPROG_LOWER_16,MATPROG_UPPER_16,READ_AVERAGE_16,MAT_AVERAGE_16
1,45290,931,3820,123204,"Sacred Heart Catholic Primary School, Henley-on-Thames",Greys Hill,,,Henley-on-Thames,RG9 1SL,0149 1572796,0,,,VA,0,Roman Catholic,4-11,,0,0,171,27,27,15,12,56%,44%,17.8,1,4%,9,35%,16,62%,1,4%,5,19%,22,81%,7,26%,25,93%,0,0%,81%,26%,0.6,-1.8,3.0,93%,0.4,-1.9,2.7,96%,0.3,-1.9,2.5,93%,85%,48%,4%,108,89%,33%,4%,108,89%,41%,4%,108,85%,37%,15%,0%,89%,0%,89%,0%,85%,0%,87%,75%,SUPP,56%,100%,SUPP,SUPP,SUPP,86%,84%,20%,33%,SUPP,0%,44%,SUPP,SUPP,SUPP,29%,28%,0.2,-3.1,3.5,1.2,-2.5,4.9,NA,NA,NA,1.3,-2.8,5.4,0.3,-2.8,3.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.5,-5.5,4.5,0.6,-1.8,3.0,-1.3,-4.5,1.9,2.4,-1.0,5.8,SUPP,SUPP,SUPP,-1.2,-5.1,2.7,1.2,-1.8,4.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.8,-5.6,4.0,0.3,-2.1,2.7,0.0,-2.9,2.9,0.6,-2.7,3.9,NA,NA,NA,0.0,-3.7,3.7,0.4,-2.4,3.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.7,-5.2,3.8,0.3,-1.9,2.5,108,108,SUPP,103,111,SUPP,SUPP,107,108,108,108,SUPP,102,111,SUPP,SUPP,106,108,108,108,SUPP,101,111,SUPP,SUPP,110,108,SUPP,67%,100%,SUPP,SUPP,SUPP,78%,100%,SUPP,SUPP,SUPP,78%,100%,SUPP,SUPP,SUPP,67%,100%,SUPP,SUPP,SUPP,33%,63%,SUPP,SUPP,SUPP,0%,50%,SUPP,SUPP,SUPP,22%,56%,SUPP,SUPP,SUPP,0%,63%,SUPP,SUPP,20,74%,0,0%,3,11%,0,0%,3,11%,0,0%,0,0%,0,0%,8%,92%,75%,17%,SUPP,SUPP,SUPP,SUPP,0,-2.7,2.7,-0.7,-3.4,2,0.6,-1.7,2.9,105,106
1,3700,931,3605,142377,The Batt Church of England Voluntary Aided Primary School,Corn Street,,,Witney,OX28 6DY,0199 3702392,0,,,ACC,0,Church of England,4-11,,0,0,327,58,58,30,28,52%,48%,17.3,2,4%,26,46%,29,51%,1,2%,11,19%,47,81%,2,3%,55,95%,0,0%,69%,10%,-0.7,-2.3,0.9,98%,-2.1,-3.7,-0.5,98%,-1.7,-3.2,-0.2,98%,76%,38%,0%,106,84%,34%,0%,107,84%,17%,0%,104,78%,12%,22%,0%,90%,0%,81%,0%,83%,0%,63%,75%,SUPP,38%,100%,36%,77%,-31,SUPP,69%,3%,18%,SUPP,0%,21%,9%,11%,-2,SUPP,11%,-1.7,-3.9,0.5,0.5,-1.8,2.8,SUPP,SUPP,SUPP,-3.3,-5.7,-0.9,2.0,-0.3,4.3,-2.3,-6.0,1.4,-0.3,-2.1,1.5,-2.6,SUPP,SUPP,SUPP,-0.7,-2.4,1.0,-3.4,-5.6,-1.2,-0.5,-2.8,1.8,SUPP,SUPP,SUPP,-2.7,-5.0,-0.4,-1.7,-3.9,0.5,-2.9,-6.5,0.7,-1.9,-3.6,-0.2,-3.1,SUPP,SUPP,SUPP,-2.0,-3.6,-0.4,-1.6,-3.6,0.4,-1.8,-3.9,0.3,SUPP,SUPP,SUPP,-2.3,-4.5,-0.1,-0.8,-2.8,1.2,-2.0,-5.3,1.3,-1.6,-3.2,0.0,-2.3,SUPP,SUPP,SUPP,-1.6,-3.1,-0.1,104,107,SUPP,99,112,101,107,SUPP,106,104,105,SUPP,100,109,101,105,SUPP,104,105,109,SUPP,102,113,105,108,SUPP,107,SUPP,54%,100%,45%,83%,SUPP,73%,100%,82%,85%,SUPP,73%,100%,64%,89%,SUPP,58%,100%,55%,83%,SUPP,12%,66%,27%,40%,SUPP,4%,66%,18%,38%,SUPP,0%,34%,9%,19%,SUPP,0%,24%,9%,13%,56,97%,0,0%,8,14%,0,0%,8,14%,0,0%,0,0%,0,0%,12%,88%,52%,5%,14%,57%,0%,6%,-0.4,-2,1.2,-2.1,-3.7,-0.5,-1.4,-2.8,0,103,103
1,22754,931,2053,139298,Harriers Banbury Academy,Harriers View,Bloxham Road,,Banbury,OX16 9JW,0129 5263067,0,,,ACC,0,Does not apply,3-11,,0,0,450,56,54,25,29,46%,54%,16.5,4,8%,27,56%,17,35%,6,11%,17,31%,37,69%,17,31%,43,80%,1,2%,76%,17%,0.5,-1.3,2.3,89%,0.6,-1.1,2.3,89%,1.7,0.1,3.3,89%,87%,30%,0%,105,91%,43%,0%,108,87%,37%,0%,107,83%,24%,15%,0%,74%,0%,81%,0%,83%,0%,60%,90%,SUPP,70%,100%,76%,76%,9,82%,72%,12%,21%,SUPP,4%,41%,12%,19%,1,6%,14%,1.4,-1.3,4.1,-0.1,-2.4,2.2,SUPP,SUPP,SUPP,0.8,-1.5,3.1,-0.3,-3.3,2.7,1.5,-1.5,4.5,0.0,-2.2,2.2,1.2,1.1,-2.4,4.6,0.1,-1.8,2.0,-0.3,-2.9,2.3,1.2,-1.0,3.4,SUPP,SUPP,SUPP,-0.1,-2.4,2.2,0.7,-2.2,3.6,2.3,-0.6,5.2,-0.3,-2.4,1.8,2.1,2.7,-0.7,6.1,0.0,-1.9,1.9,1.6,-0.9,4.1,1.8,-0.3,3.9,SUPP,SUPP,SUPP,1.3,-0.8,3.4,2.1,-0.6,4.8,2.6,-0.1,5.3,1.2,-0.8,3.2,2.3,1.8,-1.4,5.0,1.6,-0.1,3.3,104,107,SUPP,105,110,106,105,104,105,105,109,SUPP,105,112,107,107,106,107,107,110,SUPP,107,113,109,108,109,108,SUPP,93%,100%,94%,84%,SUPP,93%,100%,94%,89%,SUPP,89%,100%,88%,86%,SUPP,78%,100%,88%,81%,SUPP,19%,59%,29%,30%,SUPP,26%,76%,47%,41%,SUPP,19%,76%,41%,35%,SUPP,15%,47%,29%,22%,36,67%,1,2%,7,13%,0,0%,7,13%,1,2%,0,0%,0,0%,38%,63%,54%,2%,33%,67%,0%,3%,0.7,-1.1,2.5,-1.8,-3.6,0,0.3,-1.2,1.8,103,102
1,24324,931,4003,139998,Heyford Park Free School,74 Camp Road,Heyford Park,,Upper Heyford,OX25 5HD,0186 9232203,0,,,F,0,Does not apply,3-19,,1,1,387,0
1,14682,931,3452,123185,Deddington Church of England Primary School,Earls Lane,Deddington,,Banbury,OX15 0TJ,0186 9338430,144530,Deddington Church of England Primary School,20170701,VA,0,Church of England,4-11,,0,0,195,28,29,13,16,45%,55%,16.7,1,4%,16,57%,11,39%,1,3%,5,17%,24,83%,0,0%,27,93%,0,0%,79%,3%,5.1,2.8,7.4,97%,-0.5,-2.7,1.7,97%,0.2,-1.9,2.3,93%,97%,48%,0%,110,83%,41%,0%,107,90%,14%,3%,106,79%,14%,17%,3%,97%,3%,93%,3%,86%,3%,77%,81%,SUPP,75%,100%,SUPP,SUPP,SUPP,,81%,0%,6%,SUPP,0%,9%,SUPP,SUPP,SUPP,,4%,3.9,0.5,7.3,6.2,3.0,9.4,SUPP,SUPP,SUPP,5.9,2.8,9.0,3.8,0.1,7.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,5.5,3.2,7.8,-2.0,-5.3,1.3,0.7,-2.4,3.8,SUPP,SUPP,SUPP,0.0,-3.0,3.0,-1.3,-4.9,2.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-0.5,-2.8,1.8,0.6,-2.5,3.7,-0.2,-3.1,2.7,NA,NA,NA,0.5,-2.3,3.3,-0.3,-3.6,3.0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.3,-1.9,2.5,108,111,SUPP,108,114,SUPP,SUPP,,111,105,106,SUPP,103,110,SUPP,SUPP,,106,105,109,SUPP,105,111,SUPP,SUPP,,107,SUPP,94%,100%,SUPP,SUPP,SUPP,81%,100%,SUPP,SUPP,SUPP,88%,100%,SUPP,SUPP,SUPP,75%,100%,SUPP,SUPP,SUPP,38%,73%,SUPP,SUPP,SUPP,25%,73%,SUPP,SUPP,SUPP,0%,36%,SUPP,SUPP,SUPP,6%,27%,SUPP,SUPP,28,97%,1,3%,3,10%,0,0%,3,10%,0,0%,0,0%,0,0%,8%,92%,64%,8%,SUPP,SUPP,SUPP,SUPP,1.9,-0.6,4.4,0.9,-1.6,3.4,1.5,-0.6,3.6,106,106
1,31744,931,2017,141951,Longford Park Primary School,Longford Park Road,Bodicote,,Banbury,OX15 4FU,0129 5641751,0,,,AC,0,Does not apply,2-11,,0,0,NEW
1,30252,931,3085,123103,Launton Church of England Primary School,Bicester Road,Launton,,Bicester,OX26 5DP,0186 9253692,0,,,VC,0,Church of England,4-11,,0,0,143,18,19,12,7,63%,37%,16.7,0,0%,11,58%,8,42%,0,0%,2,11%,17,89%,0,0%,17,89%,0,0%,74%,11%,0.2,-2.6,3.0,100%,0.4,-2.3,3.1,100%,0.2,-2.3,2.7,100%,84%,32%,0%,105,79%,32%,0%,107,89%,21%,0%,105,89%,16%,11%,0%,100%,0%,100%,0%,89%,0%,75%,71%,,64%,88%,SUPP,SUPP,SUPP,,71%,0%,29%,,0%,25%,SUPP,SUPP,SUPP,,6%,-1.1,-4.6,2.4,2.5,-2.1,7.1,NA,NA,NA,2.1,-1.6,5.8,-2.4,-6.7,1.9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.0,-3.0,3.0,-0.5,-3.9,2.9,1.9,-2.6,6.4,NA,NA,NA,1.2,-2.4,4.8,-0.7,-4.9,3.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.1,-2.8,3.0,-0.4,-3.6,2.8,1.0,-3.2,5.2,NA,NA,NA,1.0,-2.3,4.3,-1.0,-4.9,2.9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.4,-2.3,3.1,104,109,,104,107,SUPP,SUPP,,105,104,107,,103,107,SUPP,SUPP,,105,105,110,,105,109,SUPP,SUPP,,107,,82%,88%,SUPP,SUPP,,64%,100%,SUPP,SUPP,,82%,100%,SUPP,SUPP,,82%,100%,SUPP,SUPP,,27%,38%,SUPP,SUPP,,27%,38%,SUPP,SUPP,,18%,25%,SUPP,SUPP,,9%,25%,SUPP,SUPP,19,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,4%,96%,52%,0%,SUPP,SUPP,SUPP,SUPP,3.5,1,6,-0.4,-2.9,2.1,-0.5,-2.6,1.6,106,103
1,19346,931,3208,140916,Freeland Church of England Primary School,Parklands,Freeland,,Witney,OX29 8HX,0199 3881707,0,,,ACC,0,Church of England,4-11,,0,0,135,23,23,14,9,61%,39%,16.9,0,0%,13,59%,9,41%,1,4%,2,9%,21,91%,1,4%,21,91%,0,0%,87%,9%,0.4,-2.2,3.0,96%,3.1,0.6,5.6,96%,0.2,-2.2,2.6,96%,87%,17%,0%,106,83%,30%,0%,107,91%,17%,0%,105,87%,43%,9%,0%,100%,0%,87%,0%,87%,0%,100%,67%,,85%,100%,SUPP,SUPP,SUPP,SUPP,90%,7%,11%,,0%,22%,SUPP,SUPP,SUPP,SUPP,10%,0.6,-2.7,3.9,0.0,-4.3,4.3,NA,NA,NA,2.0,-1.4,5.4,-1.9,-6.0,2.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.2,-2.5,2.9,4.9,1.7,8.1,0.1,-4.1,4.3,NA,NA,NA,3.8,0.5,7.1,2.1,-1.8,6.0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3.3,0.7,5.9,0.6,-2.3,3.5,-0.4,-4.3,3.5,NA,NA,NA,0.7,-2.4,3.8,-0.4,-4.1,3.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.5,-1.9,2.9,107,104,,104,109,SUPP,SUPP,SUPP,106,106,104,,103,109,SUPP,SUPP,SUPP,106,106,107,,105,110,SUPP,SUPP,SUPP,107,,85%,100%,SUPP,SUPP,,77%,100%,SUPP,SUPP,,92%,100%,SUPP,SUPP,,85%,100%,SUPP,SUPP,,8%,33%,SUPP,SUPP,,15%,56%,SUPP,SUPP,,0%,44%,SUPP,SUPP,,31%,67%,SUPP,SUPP,22,96%,0,0%,3,13%,0,0%,3,13%,0,0%,0,0%,0,0%,0%,100%,71%,6%,0%,71%,0%,6%,1.2,-1.9,4.3,1.1,-2,4.2,-1.5,-4.1,1.1,106,104
1,19934,931,2012,140688,GEMS Didcot Primary Academy,Chestnut Drive,Great Western Park,,Didcot,OX11 6DP,0123 5606013,0,,,AC,0,None,3-11,,0,0,153,0
1,21202,931,3408,123183,Great Rollright Church of England (Aided) Primary School,Church End,Great Rollright,,Chipping Norton,OX7 5SA,0160 8737202,0,,,VA,0,Church of England,4-11,,0,0,99,10,10,5,5,50%,50%,17.7,0,0%,6,60%,4,40%,0,0%,5,50%,5,50%,0,0%,10,100%,0,0%,80%,20%,-1.6,-5.5,2.3,100%,2.3,-1.4,6.0,100%,-1.4,-4.9,2.1,100%,80%,40%,0%,106,90%,50%,0%,108,90%,20%,0%,106,100%,40%,0%,0%,100%,0%,100%,0%,90%,0%,SUPP,SUPP,,67%,SUPP,SUPP,SUPP,SUPP,,80%,SUPP,SUPP,,17%,SUPP,SUPP,SUPP,SUPP,,20%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.0,-6.0,4.0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.6,-5.5,2.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,2.1,-2.7,6.9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,2.3,-1.4,6.0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-0.4,-4.9,4.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.4,-4.9,2.1,SUPP,SUPP,,104,SUPP,SUPP,SUPP,,106,SUPP,SUPP,,104,SUPP,SUPP,SUPP,,106,SUPP,SUPP,,105,SUPP,SUPP,SUPP,,108,,67%,SUPP,SUPP,SUPP,,83%,SUPP,SUPP,SUPP,,83%,SUPP,SUPP,SUPP,,100%,SUPP,SUPP,SUPP,,33%,SUPP,SUPP,SUPP,,17%,SUPP,SUPP,SUPP,,17%,SUPP,SUPP,SUPP,,17%,SUPP,SUPP,SUPP,10,100%,0,0%,1,10%,0,0%,1,10%,0,0%,0,0%,0,0%,0%,100%,82%,18%,0%,82%,0%,18%,2.4,-1.3,6.1,0.2,-3.5,3.9,-0.1,-3.3,3.1,108,106
